"","X","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"3751","6177","OTU_6245","High","385024","Eukaryota","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Acanthophora","Acanthophora spicifera"
"3768","63","OTU_63","High","41875","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus prasinos"
"3783","6267","OTU_6336","High","1928862","Eukaryota","Bryozoa","Gymnolaemata","Ctenostomatida","Vesiculariidae","Amathia","Amathia verticillata"
"3785","627","OTU_634","High","33658","Eukaryota","","Haptophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis globosa"
"3787","628","OTU_635","High","223366","Eukaryota","Chordata","Ascidiacea","Enterogona","Ascidiidae","Ascidia","Ascidia ahodori"
"3859","6464","OTU_6538","High","160068","Eukaryota","Chlorophyta","Trebouxiophyceae","Trebouxiales","Trebouxiaceae","Trebouxia","Trebouxia aggregata"
"3867","6479","OTU_6553","High","1403498","Eukaryota","Rhodophyta","Florideophyceae","Acrochaetiales","Acrochaetiaceae","Acrochaetium","Acrochaetium luxurians"
"3883","6507","OTU_6581","High","1403497","Eukaryota","Rhodophyta","Florideophyceae","Acrochaetiales","Acrochaetiaceae","Acrochaetium","Acrochaetium humile"
"3910","6554","OTU_6630","High","193293","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Watersiporidae","Watersipora","Watersipora subovoidea"
"3918","6567","OTU_6643","High","260499","Eukaryota","Rhodophyta","Florideophyceae","Bonnemaisoniales","Bonnemaisoniaceae","Asparagopsis","Asparagopsis taxiformis"
"3947","6645","OTU_6722","High","1256663","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botrylloides","Botrylloides nigrum"
"3959","668","OTU_676","High","1232801","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Amphibalanus","Amphibalanus amphitrite"
"3971","671","OTU_679","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"3992","6756","OTU_6834","High","439822","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Microcosmus","Microcosmus squamiger"
"4000","6779","OTU_6858","High","400117","Eukaryota","Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Chondracanthus","Chondracanthus teedei"
"4024","683","OTU_691","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"4087","71","OTU_71","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"4089","703","OTU_711","High","201964","Eukaryota","Chordata","Ascidiacea","Enterogona","Perophoridae","Perophora","Perophora viridis"
"4114","7091","OTU_7175","High","693640","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Chelon","Chelon dumerili"
"4145","718","OTU_726","High","51324","Eukaryota","Chlorophyta","Ulvophyceae","","","Oltmannsiellopsis","Oltmannsiellopsis viridis"
"4174","726","OTU_734","High","1041512","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia hasleana"
"4177","7257","OTU_7347","High","6058","Eukaryota","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Haliclona oculata"
"4187","730","OTU_738","High","1638924","Eukaryota","","Oomycetes","Olpidiopsidales","Olpidiopsidaceae","Olpidiopsis","Olpidiopsis feldmanni"
"4195","732","OTU_740","High","58179","Eukaryota","Rhodophyta","Florideophyceae","Gelidiales","Gelidiaceae","Gelidium","Gelidium pristoides"
"4226","741","OTU_749","High","1273208","Eukaryota","Mollusca","Gastropoda","Littorinimorpha","Assimineidae","Assiminea","Assiminea capensis"
"4282","7510","OTU_7607","High","51294","Eukaryota","Annelida","Polychaeta","Capitellida","Capitellidae","Capitella","Capitella capitata"
"4312","7612","OTU_7711","High","334896","Eukaryota","Chordata","Actinopteri","","Monodactylidae","Monodactylus","Monodactylus argenteus"
"4377","7773","OTU_7875","High","265564","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira punctigera"
"4384","79","OTU_79","High","41875","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus prasinos"
"4414","80","OTU_80","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"4415","7900","OTU_8004","High","1262161","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Pyropia","Pyropia haitanensis"
"4453","806","OTU_814","High","7658","Eukaryota","Echinodermata","Echinoidea","Echinoida","Echinidae","Parechinus","Parechinus angulosus"
"4460","8073","OTU_8180","High","159417","Eukaryota","Chordata","Ascidiacea","Enterogona","Clavelinidae","Clavelina","Clavelina lepadiformis"
"4512","827","OTU_836","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"4542","8365","OTU_8474","High","193293","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Watersiporidae","Watersipora","Watersipora subovoidea"
"4577","86","OTU_86","High","298899","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra capensis"
"4579","8494","OTU_8607","High","429038","Eukaryota","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Jassa","Jassa slatteryi"
"4591","856","OTU_865","High","2069446","Eukaryota","Cnidaria","Anthozoa","Alcyonacea","Leptophytidae","Tenerodus","Tenerodus fallax"
"4637","874","OTU_883","High","7658","Eukaryota","Echinodermata","Echinoidea","Echinoida","Echinidae","Parechinus","Parechinus angulosus"
"4649","8753","OTU_8870","High","329479","Eukaryota","","Phaeophyceae","Ectocarpales","Chordariaceae","Spermatochnus","Spermatochnus paradoxus"
"4660","8774","OTU_8891","High","29204","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Stephanodiscaceae","Cyclotella","Cyclotella cryptica"
"4673","885","OTU_894","High","348593","Eukaryota","Mollusca","Bivalvia","Ostreoida","Ostreidae","Ostrea","Ostrea stentina"
"4677","886","OTU_895","High","252669","Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Clytia","Clytia gracilis"
"4877","9567","OTU_9696","High","193174","Eukaryota","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Aglaothamnion","Aglaothamnion hookeri"
"4880","962","OTU_971","High","193348","Eukaryota","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Callithamnion","Callithamnion collabens"
"4899","969","OTU_978","High","744985","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","","alpha proteobacterium HIMB59"
"4907","9663","OTU_9794","High","1927426","Eukaryota","Arthropoda","Hexanauplia","Poecilostomatoida","Corycaeidae","Ditrichocorycaeus","Ditrichocorycaeus andrewsi"
"4938","9804","OTU_9937","High","197756","Eukaryota","Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Haslea","Haslea pseudostrearia"
